sku,product_name,stock,hpp,price,brand_id,supplier_id,seq
CJO006,OFOOD BBQ BULGOGI SAUCE 500GR,0,30290,37000,,,174
CJO007,[I5] 500GR APPLE VGR,60,15027,20000,,,175
CJO008,[I6] 900GR APPLE VGR,0,25229,31500,,,176
CJO009,[E18] 700GR CORN M.SYRUP,20,31400,38000,,,177
CJO010,SPICY GALBY MARINADE SAUCE 280G,8,24358,32000,,,178
CJO011,[K48] 500GR ANCHOVY SAUCE,3,24438,30000,,,179
CJO012,[K53] 500GR CANARI SAUCE,12,29104,35000,,,180
CJO013,Daesang Gochujang 1kg,7,76714,88500,,,181
CJO014,Daesang Gochujang 500g,11,39781,47000,,,182
CJO015,(J465) 60GR INS SOUP (CREAM SOUP),0,14131,19000,,,183
CJO016,(J465) 60GR INS SOUP (BEEF),7,14131,19000,,,184
CJO017,(J468) 60GR INS SOUP (ROASTED GARLIC),9,14131,19000,,,185
CJO018,(J467) 60GR INS SOUP (VEGETAB),23,14131,19000,,,186
CJO019,(J466) 60GR INS SOUP (MUSHROOM),22,14131,19000,,,187
CJO021,[E11] 700GR RICE M.SYRUP,10,34107,41000,,,188
CJO022,[G83] 500GR SOYBEAN P D P/L(N),0,28867,35000,,,189
CJO023,[G92] 500GR SOYBEAN P (S),0,29970,36500,,,190
MMSK001,MMSK RTC TOPOKKI ORIGINAL 134 GR (x20 EA,20,14537,18500,,,191
MMSK002,MMSK RTC TOPOKKI CREAMY 134GR (X 20 EA),8,14537,18500,,,192
MMSK003,MMSK RTC TOPOKKI HOT SPICY 134gr (X20EA),10,14537,18500,,,193
MMSK004,MMSK MAYONAIS 1KG (x8EA),0,45906,56000,,,194
MMSK005,MMSK MAYONAIS 300GR (x12EA),0,23810,29500,,,195
MMSK006,MMSK THOUSAND ISLAND DRESSING 300GR (x12,0,18259,23500,,,196
MMSK007,MMSK HONEY MUSTARD 300GR (x12EA),0,21729,27000,,,197
MMSK008,MMSK ROASTED SESAME 300GR (x12EA,9,21729,27000,,,198
MMSK011,MMSK RTC JAPCHAE ORIGINAL 111gr (X20EA),12,7456,10500,,,199
MMSK012,MMSK RTC JAPCHAE SPICY 111gr (X20EA),12,7456,10500,,,200
MMSK013,MMSK TP ROTI 500GR (x12EA),4,24387,30000,,,201
MMSK014,MMSK TP ROTI 1000g,6,43156,50500,,,202
